,neg,neu,pos,compound,Open,High,Low,Close,Volume,label
2305,0.124,0.804,0.073,-0.979,16808.26953,16857.25,16674.03906,16801.05078,75490000,1
2306,0.155,0.774,0.071,-0.9839,16802.19922,17027.83984,16802.19922,17009.68945,87940000,0
2309,0.155,0.76,0.085,-0.9867,17010.33984,17099.39063,16930.38086,16991.91016,655450000,0
2310,0.135,0.804,0.061,-0.986,16988.25,16988.25,16715.78906,16719.39063,79420000,1
2311,0.123,0.801,0.077,-0.9597,16718.65039,17006.91016,16663.25977,16994.2207,106930000,0
2312,0.116,0.838,0.046,-0.9885,16989.36914,16989.36914,16649.03906,16659.25,93210000,0
2313,0.172,0.779,0.048,-0.9951,16654.88086,16757.59961,16543.91016,16544.09961,136370000,0
2316,0.123,0.824,0.053,-0.9788,16535.42969,16602.41016,16310.46973,16321.07031,107830000,0
2317,0.196,0.745,0.059,-0.9951,16321.90039,16463.66992,16273.63965,16315.19043,110410000,0
2318,0.135,0.793,0.071,-0.9856,16313.29981,16313.29981,15855.12012,16141.74023,160380000,0
2319,0.098,0.822,0.08,-0.6269,16137.13965,16211.12012,15935.21973,16117.24023,131670000,1
2320,0.138,0.811,0.051,-0.9895,16118.38965,16427.38086,16118.38965,16380.41016,137910000,1
2323,0.16,0.767,0.072,-0.9855,16373.15039,16401.63086,16260.54004,16399.66992,94320000,1
2324,0.153,0.762,0.085,-0.9896,16406.0293,16620.7793,16405.76953,16614.81055,105110000,0
2325,0.096,0.812,0.093,-0.1093,16615.25977,16653.89063,16459.84961,16461.32031,92050000,1
2326,0.172,0.731,0.097,-0.9881,16468.07031,16767.51953,16468.07031,16677.90039,99420000,1
2327,0.174,0.77,0.055,-0.996,16677.03906,16811.71094,16649.7207,16805.41016,90400000,1
2330,0.174,0.763,0.064,-0.9877,16796.09961,16836.98047,16729.83008,16817.93945,72580000,1
2331,0.139,0.752,0.109,-0.9554,16825.18945,17006.44922,16825.18945,17005.75,83870000,0
